~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          1988.57200             0.80942             0.93698           322.70715           322.70715           637.52051           637.52051           105.87714            38.22898
          1988.72440             0.81668             0.93655           322.59119           322.59119           635.80829           635.80829           106.77078            36.11656
          1988.87680             0.81089             0.94194           321.81003           321.81003           634.16333           634.16333           111.92027            34.10786
          1989.02920             0.80908             0.95374           322.16214           322.16214           636.03156           636.03156           110.15963            33.27042
          1989.18160             0.79913             0.95290           319.80017           319.80017           637.73962           637.73962           109.13017            34.21479
          1989.33400             0.77730             0.95294           321.17245           321.17245           637.68884           637.68884           106.47200            35.46175
          1989.48640             0.78097             0.95563           321.98715           321.98715           640.59937           640.59937           107.50204            36.55864
          1989.63880             0.77456             0.94892           320.63940           320.63940           640.52820           640.52820           108.53657            35.88886
          1989.79120             0.77578             0.94635           320.06818           320.06818           636.80121           636.80121           110.80125            35.10622
          1989.94360             0.78811             0.93719           316.73862           316.73862           637.56622           637.56622           112.70288            35.46682
          1990.09600             0.77725             0.93898           311.97360           311.97360           635.37848           635.37848           112.13735            37.12140
          1990.24840             0.80314             0.93924           310.70831           310.70831           631.19562           631.19562           111.13736            38.04560
          1990.40080             0.81401             0.92543           309.84784           309.84784           633.01648           633.01648           114.52779            37.41576
          1990.55320          -999.25000             0.91968           306.90714           306.90714           634.98248           634.98248           122.27654            36.07630
          1990.70560          -999.25000             0.90402           304.32867           304.32867           632.57269           632.57269           119.83344            35.67344
          1990.85800          -999.25000             0.89240           307.52615           307.52615           624.37958           624.37958           115.55634            35.49363
          1991.01040             0.77616             0.88822           307.13220           307.13220           620.11798           620.11798           115.83428            35.04008
          1991.16280             0.81531             0.88883           301.62750           301.62750           616.02795           616.02795           112.82005            35.15444
          1991.31520          -999.25000             0.89518           303.12741           303.12741           613.31897           613.31897           115.99883            36.67490
          1991.46760          -999.25000             0.89469           307.10007           307.10007           612.24524           612.24524           122.86246            38.91817
          1991.62000          -999.25000             0.89410           301.47733           301.47733           611.32007           611.32007           124.16853            40.29164
          1991.77240          -999.25000             0.88164           302.71039           302.71039           606.46460           606.46460           120.02940            40.62943
          1991.92480          -999.25000             0.88094           307.46060           307.46060           604.83374           604.83374           121.17350            39.84153
          1992.07720          -999.25000             0.89955           307.53076           307.53076           606.29279           606.29279           117.57255            38.93945
          1992.22960          -999.25000             0.87950           307.98190           307.98190           607.72607           607.72607           110.67345            38.95477
          1992.38200          -999.25000             0.89001           306.79889           306.79889           611.73157           611.73157           116.26197            38.57903
          1992.53440             0.84739             0.89662           304.94485           304.94485           608.12170           608.12170           120.36465            38.36398
          1992.68680             0.83354             0.90386           304.98022           304.98022           602.46655           602.46655           124.42758            36.62483
          1992.83920             0.81483             0.90649           305.16660           305.16660           601.89838           601.89838           127.07695            33.64134
          1992.99160             0.81993             0.89754           306.83163           306.83163           603.79449           603.79449           122.32148            32.52245
          1993.14400             0.82768             0.89604           308.27426           308.27426           607.14685           607.14685           120.40891            32.89669
          1993.29640             0.79902             0.89426           310.74667           310.74667           608.24298           608.24298           124.20517            31.85144
          1993.44880             0.79291             0.90790           313.97458           313.97458           612.33453           612.33453           121.66198            30.17708
          1993.60120             0.81014             0.91568           310.95648           310.95648           616.13873           616.13873           118.51566            29.12648
          1993.75360             0.78994             0.93007           309.88004           309.88004           620.91345           620.91345           119.89328            30.21300
          1993.90600             0.80439             0.93221           318.35513           318.35513           625.63959           625.63959           121.56651            33.48023
          1994.05840             0.80770             0.93533           319.98752           319.98752           630.75262           630.75262           120.91849            37.62625
          1994.21080             0.79752             0.93739           317.87265           317.87265           630.46545           630.46545           117.19408            41.31241
          1994.36320             0.79509             0.93593           311.99750           311.99750           632.34625           632.34625           122.64436            42.72885
          1994.51560             0.77639             0.94334           310.23987           310.23987           634.88586           634.88586           119.94454            42.16388
          1994.66800             0.77303             0.94062           312.30481           312.30481           634.69104           634.69104           110.38703            41.97483
          1994.82040             0.76231             0.93313           310.07458           310.07458           629.38538           629.38538           111.73187            42.36504
          1994.97280             0.77247             0.92880           311.92465           311.92465           622.48309           622.48309           116.53851            42.60941
          1995.12520             0.80415          -999.25000           312.73422           312.73422           617.90918           617.90918           116.41088            37.72146
          1995.27760             0.80888          -999.25000           310.63144           310.63144           615.41296           615.41296           122.22283            31.65895
          1995.43000          -999.25000          -999.25000           305.32812           305.32812           611.78253           611.78253           124.62847            27.97657
          1995.58240          -999.25000          -999.25000           306.87766           306.87766           608.58020           608.58020           119.55601            28.37738
          1995.73480          -999.25000          -999.25000           310.13971           310.13971           602.89001           602.89001           117.66975            32.41933
          1995.88720          -999.25000          -999.25000           309.00006           309.00006           602.37079           602.37079           117.88612            36.05022
          1996.03960          -999.25000             0.92156           309.92307           309.92307           592.52600           592.52600           112.75980            38.92110
          1996.19200          -999.25000             0.92762           305.11035           305.11035           587.04932           587.04932           112.67335            40.02745
          1996.34440          -999.25000             0.93345           301.20392           301.20392           581.59564           581.59564           111.43040            39.40468
          1996.49680          -999.25000             0.92131           298.70483           298.70483           576.69128           576.69128           108.33348            37.87855
          1996.64920          -999.25000             0.90258           294.99243           294.99243           574.84467           574.84467           108.55188            35.72310
          1996.80160          -999.25000             0.90384           295.97455           295.97455           576.45734           576.45734           111.38509            35.07573
          1996.95400          -999.25000             0.90597           300.48685           300.48685           581.90332           581.90332           113.32378            35.15071
          1997.10640             0.80913             0.91729           303.71857           303.71857           597.29340           597.29340           112.03101            34.21299
          1997.25880             0.77932             0.93432           308.02182           308.02182           612.83636           612.83636           120.00859            34.12354
          1997.41120             0.79195             0.93512           310.74155           310.74155           622.17804           622.17804           116.11252            33.82797
          1997.56360             0.82414             0.92390           310.44034           310.44034           626.48956           626.48956           107.70071            33.28921
          1997.71600             0.80454             0.91929           310.35287           310.35287           622.81250           622.81250           113.35674            33.00184
          1997.86840             0.79880             0.90100           309.06732           309.06732           617.87415           617.87415           114.02647            33.71586
          1998.02080             0.78577             0.89025           304.58511           304.58511           612.95129           612.95129           114.84270            35.94932
          1998.17320          -999.25000             0.88117           303.95016           303.95016           610.74011           610.74011           116.71495            36.41130
          1998.32560          -999.25000             0.87496           305.67896           305.67896           604.84833           604.84833           110.66870            36.07473
          1998.47800          -999.25000             0.88995           302.84552           302.84552           599.46747           599.46747           112.07683            36.87802
          1998.63040          -999.25000             0.89330           300.34152           300.34152           596.60547           596.60547           110.62979            36.97080
          1998.78280          -999.25000             0.89666           298.83426           298.83426           591.68353           591.68353           115.20772            36.77155
          1998.93520          -999.25000             0.89151           299.91089           299.91089           589.12842           589.12842           114.22713            35.17773
          1999.08760          -999.25000             0.89520           299.11099           299.11099           590.13446           590.13446           111.49340            33.65908
          1999.24000          -999.25000             0.90645           299.88589           299.88589           592.50360           592.50360           111.33196            33.15248
          1999.39240          -999.25000             0.91584           300.02573           300.02573           592.69513           592.69513           111.98501            33.20501
          1999.54480          -999.25000             0.92346           299.45657           299.45657           590.99408           590.99408           112.02129            33.37959
          1999.69720          -999.25000             0.93301           299.91455           299.91455           588.87390           588.87390           110.33986            33.50454
          1999.84960          -999.25000             0.93486           301.36551           301.36551           587.91791           587.91791           111.77819            34.15905
          2000.00200             0.82677             0.92430           302.31860           302.31860           587.89160           587.89160           113.03458            35.05972
          2000.15440             0.81875             0.91488           307.70050           307.70050           592.51538           592.51538           113.22164            35.32605
          2000.30680             0.82017             0.92112           308.43094           308.43094           600.56122           600.56122           111.17634            34.70975
          2000.45920             0.81892             0.93280           308.03403           308.03403           609.75470           609.75470           110.99504            33.33857
          2000.61160             0.81999             0.94581           309.01672           309.01672           618.23962           618.23962           113.46431            32.59977
          2000.76400             0.83043             0.93765           313.43146           313.43146           626.35333           626.35333           120.48808            32.99731
          2000.91640             0.82761             0.93433           317.82162           317.82162           632.93781           632.93781           115.97558            33.77213
          2001.06880             0.80913             0.93191           318.48251           318.48251           633.01807           633.01807           113.55808            34.41997
          2001.22120             0.79853             0.93182           316.74573           316.74573           625.74329           625.74329           111.44897            34.01160
          2001.37360             0.82371             0.91833           313.05032           313.05032           616.08893           616.08893           109.20943            33.66721
          2001.52600          -999.25000          -999.25000           307.45587           307.45587           611.36047           611.36047           113.68020            33.11824
          2001.67840          -999.25000          -999.25000           307.77118           307.77118           616.89624           616.89624           107.20419            33.75778
          2001.83080          -999.25000          -999.25000           307.22183           307.22183           626.46503           626.46503           105.12815            34.37536
          2001.98320          -999.25000          -999.25000           308.05991           308.05991           618.90228           618.90228           110.78049            34.69006
          2002.13560          -999.25000             0.91154           310.70773           310.70773           604.40253           604.40253           111.54293            34.17444
          2002.28800          -999.25000             0.91675           310.71875           310.71875           592.44598           592.44598           114.13493            30.69935
          2002.44040          -999.25000             0.92104           305.87442           305.87442           588.71344           588.71344           110.18943            27.86210
          2002.59280          -999.25000             0.92565           301.40750           301.40750           584.12878           584.12878           103.76878            26.30269
          2002.74520          -999.25000             0.91808           299.38165           299.38165           575.54694           575.54694           103.79095            23.53048
          2002.89760          -999.25000             0.90936           294.15472           294.15472           570.60956           570.60956           104.98167            22.40924
          2003.05000          -999.25000             0.89952           293.61502           293.61502           569.61975           569.61975           107.50753            22.80140
          2003.20240             0.81592             0.92010           298.19675           298.19675           572.36780           572.36780           110.16812            23.14563
          2003.35480             0.80160             0.93179           305.17157           305.17157           583.83820           583.83820           110.12927            21.14586
          2003.50720             0.80702             0.91758           310.27432           310.27432           599.86511           599.86511           109.23828            16.39824
          2003.65960             0.79826             0.91848           314.87897           314.87897           615.29858           615.29858           115.74062            14.61404
          2003.81200             0.80306             0.91082           313.35062           313.35062           622.30981           622.30981           115.02259            18.04674
          2003.96440             0.77826             0.90025           314.26807           314.26807           627.28748           627.28748           106.18489          -999.25000
          2004.11680             0.77703             0.90589           310.77570           310.77570           625.03998           625.03998           106.74694          -999.25000
          2004.26920          -999.25000             0.89260           305.84833           305.84833           619.86731           619.86731           107.79728            65.39006
          2004.42160          -999.25000             0.85403           306.62088           306.62088           610.95142           610.95142           107.20168            67.37644
          2004.57400          -999.25000             0.83808           306.32089           306.32089           605.91180           605.91180           118.16378            70.70453
          2004.72640          -999.25000             0.84193           304.99634           304.99634           604.81677           604.81677           123.97065            73.11378
          2004.87880          -999.25000             0.87506           306.17209           306.17209           605.71960           605.71960           114.25588            69.68028
          2005.03120          -999.25000             0.91113           307.76703           307.76703           599.30811           599.30811           108.37079            65.65850
          2005.18360          -999.25000             0.92015           306.89166           306.89166           592.74097           592.74097           118.77185            64.82236
          2005.33600          -999.25000             0.92036           304.82031           304.82031           589.09656           589.09656           122.84251            68.57691
          2005.48840          -999.25000             0.92107           304.57944           304.57944           583.45349           583.45349           117.30425            70.58826
          2005.64080          -999.25000             0.93082           303.37781           303.37781           578.41797           578.41797           114.62130            69.95116
          2005.79320          -999.25000             0.93592           298.28745           298.28745           573.55750           573.55750           114.83921            68.22746
          2005.94560          -999.25000             0.92118           295.95294           295.95294           572.88422           572.88422           121.33948            64.97025
          2006.09800          -999.25000             0.90415           296.77255           296.77255           583.19830           583.19830           120.11861            63.13388
          2006.25040          -999.25000             0.90006           300.43433           300.43433           602.43732           602.43732           119.67429            63.25150
          2006.40280          -999.25000             0.89156           303.87372           303.87372           609.23273           609.23273           116.31052            67.92067
          2006.55520          -999.25000             0.85046           308.14792           308.14792           603.93018           603.93018           114.47025            69.97749
          2006.70760          -999.25000             0.86407           308.68503           308.68503           599.09534           599.09534           115.74633            70.66225
          2006.86000          -999.25000             0.88383           305.19244           305.19244           601.21204           601.21204           120.13161            70.55249
          2007.01240          -999.25000             0.90652           303.44247           303.44247           595.23083           595.23083           117.38290            69.97472
          2007.16480          -999.25000             0.92552           302.45853           302.45853           591.97083           591.97083           115.72441            68.67321
          2007.31720          -999.25000             0.92975           301.29553           301.29553           589.68359           589.68359           122.89869            66.77806
          2007.46960          -999.25000             0.92579           302.71579           302.71579           588.88617           588.88617           125.28811            66.37604
          2007.62200          -999.25000             0.91595           304.90854           304.90854           583.44952           583.44952           127.79161            65.90929
          2007.77440          -999.25000             0.89221           302.94113           302.94113           585.31781           585.31781           129.65414            65.99060
          2007.92680          -999.25000             0.89358           302.56851           302.56851           594.99371           594.99371           128.59091            64.61461
          2008.07920          -999.25000             0.90507           305.84241           305.84241           605.59479           605.59479           120.85679            61.89505
          2008.23160          -999.25000             0.90657           304.03265           304.03265           611.62030           611.62030           113.10480            62.19910
          2008.38400          -999.25000             0.90093           300.87430           300.87430           613.97717           613.97717           115.26017            65.16630
          2008.53640          -999.25000             0.89381           301.21628           301.21628           613.47687           613.47687           121.67961            69.27409
          2008.68880          -999.25000             0.88027           301.45905           301.45905           609.08234           609.08234           117.76235            70.69831
