DEPTH,SWOB,STOR,RPM,SPPA,SMSE,TFLO,ECD,Formation,ROP5
2461.4448,1.6373,16.0258,69,13422.71,14.2018,3057.023,1449.661,Dawson Canyon Formation,19.6087
2461.7129,1.0548,13.8293,70,13432.02,11.2739,3065.124,1449.244,Dawson Canyon Formation,17.3567
2462.1445,1.1974,16.0393,71,13386.31,7.9608,3077.691,1448.432,Dawson Canyon Formation,17.9185
2462.6482,0.5955,13.4362,70,13374.45,12.8171,3053.427,1447.604,Dawson Canyon Formation,18.2323
2462.856,0.0554,11.9719,69,13359.35,16.6417,3056.115,1447.556,Dawson Canyon Formation,17.6548
2463.3105,3.1728,15.253,70,13363.9,12.0615,3048.052,1446.385,Dawson Canyon Formation,18.7223
2463.5132,0.8997,13.3277,70,13359.49,13.4477,3047.143,1445.982,Dawson Canyon Formation,16.433
2463.8308,1.9092,13.8158,69,13312.26,11.4356,3033.667,1446.263,Dawson Canyon Formation,18.0649
2464.2007,1.433,15.619,70,13324.88,12.2654,3078.6,1446.177,Dawson Canyon Formation,18.7135
2464.5938,1.5641,15.5377,70,13300.61,10.8808,3075.912,1446.085,Dawson Canyon Formation,20.0764
2464.9961,3.0798,16.0393,70,13291.85,11.4979,3067.812,1445.636,Dawson Canyon Formation,21.7617
2465.4023,5.5969,17.7341,102,15947.23,8.5522,3376.133,1444.121,Dawson Canyon Formation,14.0403
2465.8025,3.3985,15.5106,104,16028.59,42.3139,3372.537,1445.093,Dawson Canyon Formation,12.3569
2466.3823,2.7956,14.7106,104,16420.21,13.5686,3417.47,1446.733,Dawson Canyon Formation,13.23
2467.0317,3.3323,16.1207,105,16608.23,9.6808,3456.119,1446.936,Dawson Canyon Formation,38.6961
2467.8484,6.6389,18.29,104,16605.4,8.1645,3461.532,1447.455,Dawson Canyon Formation,44.2323
2468.4331,3.3079,16.9071,104,16604.23,10.305,3463.311,1448.738,Dawson Canyon Formation,41.9477
2469.0518,2.9333,14.8327,103,16572.1,11.3527,3466.907,1447.174,Dawson Canyon Formation,39.3534
2469.6782,3.0308,16.2563,105,16539.97,11.0449,3460.624,1448.447,Dawson Canyon Formation,38.9498
2470.2004,3.5276,14.6022,104,16497.09,10.3472,3460.624,1448.325,Dawson Canyon Formation,35.2078
2470.7498,3.1845,17.5578,104,16516.88,14.7025,3457.936,1448.905,Dawson Canyon Formation,33.3532
2471.3467,2.9802,15.5241,104,16498.88,11.0194,3452.523,1449.12,Dawson Canyon Formation,35.5812
2471.9512,3.9806,15.6461,104,16482.81,11.6636,3454.34,1448.979,Dawson Canyon Formation,34.6748
2472.572,3.36,16.2427,103,16470.47,11.1686,3464.22,1450.607,Dawson Canyon Formation,37.2137
2473.1294,3.9647,15.7004,105,16458.54,14.2665,3442.643,1449.767,Dawson Canyon Formation,35.3893
2473.7175,3.4199,16.08,104,16454.75,11.4968,3466.907,1449.984,Dawson Canyon Formation,34.9014
2474.3823,3.6607,16.6088,104,16473.78,11.063,3459.715,1449.828,Dawson Canyon Formation,38.9241
2474.9873,3.704,16.9884,104,16467.78,10.3955,3455.211,1449.686,Dawson Canyon Formation,37.8307
2475.6104,4.3047,16.4868,103,16469.99,10.9344,3438.138,1450.604,Dawson Canyon Formation,36.924
2476.167,3.845,15.7546,104,16412.76,13.1213,3448.927,1450.828,Dawson Canyon Formation,36.8093
2476.7478,3.2004,15.8766,106,16411.59,11.98,3452.523,1451.754,Dawson Canyon Formation,35.2169
2477.342,3.6556,16.2291,104,16364.98,12.2707,3449.835,1450.198,Dawson Canyon Formation,36.3593
2477.9731,4.1891,17.1647,105,16363.12,11.5469,3445.331,1452.53,Dawson Canyon Formation,36.4009
2478.6575,4.0806,16.541,103,16355.74,10.8114,3459.715,1452.723,Dawson Canyon Formation,40.0641
2479.3457,4.477,17.7341,105,16379.74,10.3154,3449.835,1452.207,Dawson Canyon Formation,40.6761
2479.9956,4.1941,15.036,104,16351.47,9.315,3438.138,1453.472,Dawson Canyon Formation,39.6839
2480.6123,4.649,16.7308,104,16412.83,11.3948,3453.431,1454.389,Dawson Canyon Formation,38.6523
2481.3062,4.7207,16.6766,103,16388.91,10.4969,3444.422,1453.518,Dawson Canyon Formation,38.6855
2481.8914,4.3006,17.1104,106,16362.64,11.5136,3461.532,1454.442,Dawson Canyon Formation,38.6884
2482.4216,3.5501,15.2123,105,16375.19,12.498,3453.431,1454.671,Dawson Canyon Formation,35.1798
2482.9211,3.2608,15.0225,104,16326.03,14.4935,3459.715,1455.261,Dawson Canyon Formation,32.3745
2483.5386,4.1451,15.7682,105,16340.37,11.8217,3450.744,1454.408,Dawson Canyon Formation,32.7888
2484.0479,2.9119,16.2969,105,16316.24,13.3652,3455.211,1454.642,Dawson Canyon Formation,33.7857
2484.4253,2.4491,15.4834,106,16286.66,16.0986,3466.907,1455.261,Dawson Canyon Formation,30.1679
2485.1943,2.9968,16.2156,104,16821.55,12.3384,3520.85,1455.788,Dawson Canyon Formation,28.7767
2485.7383,3.5827,15.9851,104,16818.45,12.1419,3521.758,1455.306,Dawson Canyon Formation,31.4177
2486.4739,4.9556,17.0833,103,16473.3,9.8303,3465.128,1454.425,Dawson Canyon Formation,37.0096
2487.1741,4.5332,16.5817,104,16661.73,10.7825,3469.595,1455.675,Dawson Canyon Formation,42.6493
2487.895,5.2023,16.6359,103,16561.55,9.9654,3483.071,1455.505,Dawson Canyon Formation,43.1375
2488.5803,5.3184,16.2563,103,16465.58,9.1816,3451.615,1454.99,Dawson Canyon Formation,41.9422
2489.3267,5.7483,18.1544,102,16447.58,9.3507,3468.725,1455.874,Dawson Canyon Formation,43.2916
2489.759,1.4338,13.2057,105,16596.78,15.8262,3472.321,1455.065,Dawson Canyon Formation,37.5085
2490.1809,2.2705,14.2768,104,16392.08,14.398,3456.119,1454.612,Dawson Canyon Formation,30.9788
2490.7297,3.3492,15.4428,103,16299.55,11.4593,3438.138,1455.19,Dawson Canyon Formation,29.2426
2491.1946,3.3461,15.7139,104,16259.77,15.4541,3436.359,1455.08,Dawson Canyon Formation,26.453
2491.8533,4.3952,16.5952,103,16219.71,10.6266,3431.854,1455.278,Dawson Canyon Formation,34.3084
2492.53,5.1961,16.8528,104,16232.74,9.3192,3423.754,1456.179,Dawson Canyon Formation,39.9943
2493.2161,4.9422,18.1137,103,16204.61,10.4956,3418.378,1457.431,Dawson Canyon Formation,40.098
2493.8289,4.6167,17.2731,105,16344.23,11.5658,3448.018,1456.579,Dawson Canyon Formation,38.5561
2494.4294,5.7377,15.1038,103,16205.16,13.6334,3412.095,1456.084,Dawson Canyon Formation,37.2688
2494.9797,5.6091,17.0833,104,16080.78,13.9401,3421.066,1455.954,Dawson Canyon Formation,35.3511
2495.5632,3.758,17.2325,105,16112.22,13.4951,3417.47,1455.816,Dawson Canyon Formation,33.6724
2496.1206,5.1188,16.4868,104,16088.36,12.2274,3410.278,1456.037,Dawson Canyon Formation,33.606
2496.6997,3.1707,16.7579,104,16138.83,10.9429,3401.306,1456.254,Dawson Canyon Formation,33.263
2497.197,4.0109,15.3072,104,16464.4,12.0124,3448.018,1457.195,Dawson Canyon Formation,33.7397
2497.7666,3.9799,18.3307,105,16540.59,11.4006,3475.008,1458.12,Dawson Canyon Formation,33.326
2498.3801,4.3363,16.3918,105,16540.18,12.4343,3463.311,1456.916,Dawson Canyon Formation,34.6524
2499.0161,6.3784,16.4461,103,16558.11,11.3429,3462.403,1456.765,Dawson Canyon Formation,37.9806
2499.583,4.7301,15.036,103,16527.84,11.8984,3466.907,1457.69,Dawson Canyon Formation,35.4704
2500.231,5.9248,16.9342,103,16554.24,10.6113,3455.211,1457.537,Dawson Canyon Formation,37.6529
2500.8501,4.4628,17.1104,103,16544.18,10.683,3465.128,1457.743,Dawson Canyon Formation,36.5815
2501.3923,3.7398,16.541,105,16544.25,11.5607,3475.008,1457.615,Dawson Canyon Formation,36.5674
2501.9341,4.0903,15.7817,104,16590.3,14.2261,3465.128,1457.839,Dawson Canyon Formation,33.9789
2502.5168,4.3067,15.036,104,16583.06,9.7237,3464.22,1457.348,Dawson Canyon Formation,34.0959
2503.0381,4.1741,15.6597,103,16550.52,12.7376,3460.624,1457.578,Dawson Canyon Formation,32.2152
2503.6113,4.5228,17.1511,104,16553.14,13.0356,3461.532,1458.5,Dawson Canyon Formation,33.649
2504.1943,5.1087,17.4901,104,16530.04,13.6049,3463.311,1457.304,Dawson Canyon Formation,33.9974
2504.8152,5.7617,17.3951,104,16545.76,12.8647,3452.523,1458.215,Dawson Canyon Formation,35.2553
2505.3826,4.6188,18.6289,104,16541.56,13.5579,3461.532,1458.786,Dawson Canyon Formation,35.9002
2505.948,5.4537,17.3002,105,16515.01,13.4189,3474.1,1457.947,Dawson Canyon Formation,34.5828
2506.4561,4.3924,17.6256,103,16550.24,14.1263,3467.816,1458.885,Dawson Canyon Formation,32.5877
2506.9937,4.2341,17.8968,103,16563.69,14.7802,3469.595,1460.52,Dawson Canyon Formation,32.5378
2507.5737,4.2855,16.3376,103,16568.31,12.4137,3454.34,1460.03,Dawson Canyon Formation,33.0549
2508.1655,4.4072,17.1647,103,16585.62,12.9644,3461.532,1460.242,Dawson Canyon Formation,34.5071
2508.6746,4.7419,16.4054,105,16622.57,17.4754,3465.999,1460.827,Dawson Canyon Formation,32.8508
2509.283,5.5148,16.8393,103,16618.5,12.268,3464.22,1461.035,Dawson Canyon Formation,33.4975
2509.8167,4.5848,16.6223,105,16673.18,14.6212,3457.936,1461.966,Dawson Canyon Formation,32.5626
2510.4036,4.175,16.4732,104,16640.15,12.1683,3475.917,1462.884,Dawson Canyon Formation,34.1999
2511.0051,5.4768,16.9071,104,16652.56,13.5384,3457.936,1462.389,Dawson Canyon Formation,33.817
2511.5669,5.7023,15.7682,103,16656.42,12.8657,3478.604,1461.903,Dawson Canyon Formation,34.4176
2511.9766,2.858,15.9037,105,16628.91,15.8361,3465.999,1462.863,Dawson Canyon Formation,29.2243
2512.4026,4.9262,16.6901,103,16675.04,14.1724,3470.504,1463.115,Dawson Canyon Formation,28.653
2512.8171,4.0027,17.7205,105,16658.63,16.1288,3467.816,1464.073,Dawson Canyon Formation,26.9741
2513.2224,4.1113,17.0426,103,16613.81,16.2343,3469.595,1463.625,Dawson Canyon Formation,24.3779
2513.4519,3.8659,15.8631,103,16616.09,27.0234,3467.816,1463.923,Dawson Canyon Formation,22.657
2513.7649,3.9857,14.2632,97,14683.97,20.7936,3199.96,1459.622,Dawson Canyon Formation,21.6723
2514.2852,3.2927,17.5036,97,14169.62,12.6444,3197.235,1458.794,Dawson Canyon Formation,22.3879
2514.6851,2.5302,16.419,101,14694.66,14.3875,3071.408,1461.869,Dawson Canyon Formation,22.8226
2514.9792,2.8083,15.5377,101,16060.99,24.6725,3242.205,1462.856,Dawson Canyon Formation,23.0088
2515.1714,1.4723,13.9243,101,16921.32,22.941,3494.768,1462.106,Dawson Canyon Formation,21.481
2515.4978,4.1898,13.3548,100,16812.11,26.8086,3494.768,1461.677,Dawson Canyon Formation,19.4522
2515.8074,2.0976,14.3446,102,16711.51,12.3578,3474.1,1461.251,Dawson Canyon Formation,18.0449
2515.9675,2.2152,12.6227,125,16405.18,20.0868,3469.595,1462.622,Dawson Canyon Formation,13.594
2516.5786,4.478,15.0496,122,16707.86,15.1048,3447.148,1464.238,Dawson Canyon Formation,16.223
