~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2454.26720          -999.25000          -999.25000           282.23611           282.23611          -999.25000          -999.25000           121.56620          -999.25000
          2454.41960          -999.25000          -999.25000           286.16125           286.16125          -999.25000          -999.25000           125.27402          -999.25000
          2454.57200          -999.25000          -999.25000           293.18951           293.18951          -999.25000          -999.25000           127.63456          -999.25000
          2454.72440          -999.25000          -999.25000           299.67200           299.67200          -999.25000          -999.25000           129.86432          -999.25000
          2454.87680          -999.25000          -999.25000           303.56293           303.56293          -999.25000          -999.25000           134.46004          -999.25000
          2455.02920          -999.25000          -999.25000           305.23300           305.23300          -999.25000          -999.25000           139.98816          -999.25000
          2455.18160          -999.25000          -999.25000           307.36972           307.36972          -999.25000          -999.25000           145.02795          -999.25000
          2455.33400             0.94245          -999.25000           311.22937           311.22937          -999.25000          -999.25000           149.27606          -999.25000
          2455.48640             0.95165          -999.25000           314.60587           314.60587          -999.25000          -999.25000           147.86748          -999.25000
          2455.63880             0.93398          -999.25000           317.22882           317.22882          -999.25000          -999.25000           142.51224          -999.25000
          2455.79120             0.92080          -999.25000           319.96597           319.96597          -999.25000          -999.25000           138.74387          -999.25000
          2455.94360             0.94730          -999.25000           325.31052           325.31052          -999.25000          -999.25000           136.73662          -999.25000
          2456.09600             0.91855          -999.25000           332.56216           332.56216          -999.25000          -999.25000           135.20142          -999.25000
          2456.24840             0.91496          -999.25000           335.34216           335.34216          -999.25000          -999.25000           133.19849          -999.25000
          2456.40080             0.88083          -999.25000           333.73907           333.73907          -999.25000          -999.25000           132.35355          -999.25000
          2456.55320             0.83730          -999.25000           326.81747           326.81747          -999.25000          -999.25000           134.68367          -999.25000
          2456.70560             0.79714          -999.25000           322.84348           322.84348          -999.25000          -999.25000           140.35426          -999.25000
          2456.85800             0.79458          -999.25000           318.74524           318.74524          -999.25000          -999.25000           148.34451          -999.25000
          2457.01040          -999.25000          -999.25000           318.40710           318.40710          -999.25000          -999.25000           153.87398          -999.25000
          2457.16280          -999.25000          -999.25000           317.46872           317.46872          -999.25000          -999.25000           154.11725          -999.25000
          2457.31520             0.52609          -999.25000           316.44070           316.44070          -999.25000          -999.25000           150.01419          -999.25000
          2457.46760             0.60420          -999.25000           319.27481           319.27481          -999.25000          -999.25000           143.09352          -999.25000
          2457.62000             0.78179          -999.25000           329.93533           329.93533          -999.25000          -999.25000           138.31822          -999.25000
          2457.77240             0.83290          -999.25000           343.40387           343.40387          -999.25000          -999.25000           137.35452          -999.25000
          2457.92480             0.81522          -999.25000           352.62491           352.62491          -999.25000          -999.25000           135.83562          -999.25000
          2458.07720             0.81492          -999.25000           358.50366           358.50366          -999.25000          -999.25000           134.34242          -999.25000
          2458.22960             0.83109          -999.25000           369.55124           369.55124          -999.25000          -999.25000           136.68123          -999.25000
          2458.38200          -999.25000          -999.25000           383.57059           383.57059          -999.25000          -999.25000           140.65691          -999.25000
          2458.53440          -999.25000          -999.25000           391.52905           391.52905          -999.25000          -999.25000           146.25697          -999.25000
          2458.68680          -999.25000          -999.25000           387.60501           387.60501          -999.25000          -999.25000           160.82976          -999.25000
          2458.83920             0.85125          -999.25000           372.91464           372.91464          -999.25000          -999.25000           179.49998          -999.25000
          2458.99160             0.86093          -999.25000           354.77151           354.77151          -999.25000          -999.25000           186.90796          -999.25000
          2459.14400             0.81720          -999.25000           340.43723           340.43723           630.15564           630.15564           185.72673          -999.25000
          2459.29640             0.79018             0.93775           333.53680           333.53680           630.25336           630.25336           185.61876          -999.25000
          2459.44880             0.78404             0.94081           331.03073           331.03073           630.36005           630.36005           184.21437          -999.25000
          2459.60120             0.78217             0.94422           328.76880           328.76880           630.20911           630.20911           181.22176          -999.25000
          2459.75360             0.77714             0.94757           326.33557           326.33557           630.29962           630.29962           181.35983          -999.25000
          2459.90600             0.77930             0.94477           323.27368           323.27368           630.80182           630.80182           176.79182            21.96450
          2460.05840             0.77731             0.93916           322.01398           322.01398           630.89612           630.89612           117.17154            23.98651
          2460.21080             0.78004             0.94072           321.51389           321.51389           631.59674           631.59674           113.97052            37.12211
          2460.36320             0.75643             0.93334           322.56754           322.56754           631.80518           631.80518           112.50909            19.30060
          2460.51560             0.74904             0.92701           323.24289           323.24289           632.64746           632.64746           119.46765            23.00709
          2460.66800             0.74794             0.92586           323.94678           323.94678           632.79987           632.79987           128.37497            27.41253
          2460.82040             0.74225             0.92457           323.39233           323.39233           633.60406           633.60406           130.45480            14.25082
          2460.97280             0.76615             0.92468           321.96188           321.96188           635.80933           635.80933           127.59870            12.29125
          2461.12520             0.79255             0.92644           319.61868           319.61868           637.88318           637.88318           125.12293            16.15421
          2461.27760             0.80749             0.93047           317.72357           317.72357           639.49109           639.49109           125.06373            17.54134
          2461.43000             0.79717             0.92186           317.39029           317.39029           639.52942           639.52942           125.34900            19.44504
          2461.58240             0.78507             0.90361           316.41040           316.41040           639.03619           639.03619           122.16166            18.09371
